ID   Name       Hire_Date Wages   Hours
8000 Smith      02/23/80  5.50    30.0     
8001 Jones      03/30/80  6.25    40.0     
8002 Spinks     07/01/80  4.75    20.0     
8003 Fogel      09/30/80  4.55    25.0     
8004 Whitson    01/01/81  3.95    37.5     
8005 Wise       05/31/81  3.35    45.0     
8006 Lindquist  10/31/81  4.00    30.0     
8007 Baker      04/01/82  7.10    27.5     
8008 Duerr      12/01/82  6.75    28.0     
8009 White      06/30/83  5.50    20.0     
8010 Montgomery 08/15/83  5.60    24.5     
8011 Washington 02/29/84  10.20   25.5     
8012 Beitel     07/01/84  8.30    50.0     
8013 Patterson  12/31/84  4.50    40.0     
8014 Hanlon     03/01/85  3.95    45.0     
8015 Thorton    01/03/86  3.75    46.5     
8016 Williams   09/01/86  3.35    39.5     
8017 May        02/01/87  8.85    30.0     
8018 Walton     06/30/87  9.00    39.0     
8019 Marshall   08/12/88  4.75    33.5     
